,ritz_wl_vac(nm),unc_ritz_wl,Aki(s^-1),Acc,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
92,656.2000376,3e-07,343360.0,AA,4f,2F*,5/2,6d,2D,3/2,6,4
93,656.2000407,4e-07,1356600.0,AA,4d,2D,5/2,6p,2P*,3/2,6,4
94,656.20062988,1.7e-07,784760.0,AA,4f,2F*,7/2,6g,2G,7/2,8,8
95,656.2021779,3e-07,327000.0,AA,4f,2F*,7/2,6d,2D,5/2,8,6
96,1012.5628261,6e-07,19822000.0,AA,4p,2P*,1/2,5d,2D,3/2,2,4
97,1012.56881065,2.1e-07,11802000.0,AA,4s,2S,1/2,5p,2P*,3/2,2,4
98,1012.5980957,3e-07,3442300.0,AA,4p,2P*,1/2,5s,2S,1/2,2,2
99,1012.60724592,2.1e-07,11801000.0,AA,4s,2S,1/2,5p,2P*,1/2,2,2
100,1012.6249836,1e-06,38612000.0,AA,4d,2D,3/2,5f,2F*,5/2,4,6
101,1012.6250853,6e-07,23784000.0,AA,4p,2P*,3/2,5d,2D,5/2,4,6
102,1012.6377077,9e-07,301670.0,AA,4d,2D,3/2,5p,2P*,3/2,4,4
103,1012.6378972,6e-07,3963900.0,AA,4p,2P*,3/2,5d,2D,3/2,4,4
104,1012.6435681,4e-07,65665000.0,AA,4f,2F*,5/2,5g,2G,7/2,6,8
105,1012.6436011,1e-06,41369000.0,AA,4d,2D,5/2,5f,2F*,7/2,6,8
106,1012.6499386,7e-07,38475.0,AA,4f,2F*,5/2,5d,2D,5/2,6,6
107,1012.650007,1e-06,2757900.0,AA,4d,2D,5/2,5f,2F*,5/2,6,6
108,1012.6522361,4e-07,68095000.0,AA,4f,2F*,7/2,5g,2G,9/2,8,10
109,1012.6560797,4e-07,2431900.0,AA,4f,2F*,7/2,5g,2G,7/2,8,8
110,1012.6624504,7e-07,769500.0,AA,4f,2F*,7/2,5d,2D,5/2,8,6
111,1012.6627317,9e-07,2715000.0,AA,4d,2D,5/2,5p,2P*,3/2,6,4
112,1012.662751,7e-07,808000.0,AA,4f,2F*,5/2,5d,2D,3/2,6,4
113,1012.673172,3e-07,6884100.0,AA,4p,2P*,3/2,5s,2S,1/2,4,2
114,1012.6761482,9e-07,3016900.0,AA,4d,2D,3/2,5p,2P*,1/2,4,2
115,1864.0462399,1.4e-06,5996600.0,AA,5p,2P*,1/2,6d,2D,3/2,2,4
116,1864.0566197,1.4e-06,3889400.0,AA,5s,2S,1/2,6p,2P*,3/2,2,4
117,1864.1154064,7e-07,1431000.0,AA,5p,2P*,1/2,6s,2S,1/2,2,2
118,1864.1319995,1.4e-06,3889300.0,AA,5s,2S,1/2,6p,2P*,1/2,2,2
119,1864.1511997,2.4e-06,10806000.0,AA,5d,2D,3/2,6f,2F*,5/2,4,6
120,1864.1513722,1.4e-06,7195100.0,AA,5p,2P*,3/2,6d,2D,5/2,4,6
121,1864.1761527,2.1e-06,153560.0,AA,5d,2D,3/2,6p,2P*,3/2,4,4
122,1864.176499,1.4e-06,1199200.0,AA,5p,2P*,3/2,6d,2D,3/2,4,4
123,1864.1820007,1.4e-06,17067000.0,AA,5f,2F*,5/2,6g,2G,7/2,6,8
124,1864.1820556,2.4e-06,11577000.0,AA,5d,2D,5/2,6f,2F*,7/2,6,8
125,1864.1944941,2.1e-06,29788.0,AA,5f,2F*,5/2,6d,2D,5/2,6,6
126,1864.1946188,2.4e-06,771800.0,AA,5d,2D,5/2,6f,2F*,5/2,6,6
127,1864.19614571,2.4e-07,25743000.0,AA,5g,2G,7/2,6h,2H*,9/2,8,10
128,1864.1961719,1.4e-06,17699000.0,AA,5f,2F*,7/2,6g,2G,9/2,8,10
129,1864.2036451,1e-06,5056.7,AA,5g,2G,7/2,6f,2F*,7/2,8,8
130,1864.20371,1.4e-06,632090.0,AA,5f,2F*,7/2,6g,2G,7/2,8,8
131,1864.20414603,2.4e-07,26328000.0,AA,5g,2G,9/2,6h,2H*,11/2,10,12
132,1864.2091714,2.4e-07,585070.0,AA,5g,2G,9/2,6h,2H*,9/2,10,10
133,1864.2162037,2.1e-06,595750.0,AA,5f,2F*,7/2,6d,2D,5/2,8,6
134,1864.2162085,1e-06,182040.0,AA,5g,2G,7/2,6f,2F*,5/2,8,6
135,1864.2166709,1e-06,176980.0,AA,5g,2G,9/2,6f,2F*,7/2,10,8
136,1864.219573,2.1e-06,1382000.0,AA,5d,2D,5/2,6p,2P*,3/2,6,4
137,1864.219622,2.1e-06,625550.0,AA,5f,2F*,5/2,6d,2D,3/2,6,4
138,1864.2456752,7e-07,2861900.0,AA,5p,2P*,3/2,6s,2S,1/2,4,2
139,1864.2515423,2.1e-06,1535700.0,AA,5d,2D,3/2,6p,2P*,1/2,4,2
