,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Lande,Leading percentages,Reference,nQua
656,3d6.4s.(6D).7s,7D,2,5.0,7.2758644,4e-07,,                                                     ,,7
657,3d6.4s.(6D).7s,7D,1,3.0,7.2852593,4e-07,,                                                     ,,7
658,3d6.4s.(4D).4d,5P,2,5.0,7.21750752,2.5e-07,,                                                     ,,4
659,3d6.4s.(4D).4d,5P,3,7.0,7.2508259,4e-07,,                                                     ,,4
660,3d6.4s.(6D).7s,5D,4,9.0,7.2309299,4e-07,,                                                     ,,7
661,3d6.4s.(6D).7s,5D,3,7.0,7.28561601,2.5e-07,,                                                     ,,7
662,3d6.4s.(6D).7s,5D,2,5.0,7.3195016,5e-07,,                                                     ,,7
663,3d6.4s.(6D).7s,5D,1,3.0,7.32912,5e-07,,                                                     ,,7
664,3d6.4s.(4D).4d,3G,5,11.0,7.2521129,4e-07,,                                                     ,,4
665,3d6.4s.(4D).4d,3G,4,9.0,7.3107624,4e-07,,                                                     ,,4
666,3d7.(4F).5d,5F,5,11.0,7.26438371,2.5e-07,,                                                     ,,5
667,3d7.(4F).5d,5F,4,9.0,7.26449133,2.5e-07,,                                                     ,,5
668,3d6.4s.(4D).5p,5P*,3,7.0,7.27470577,2.5e-07,,                                                     ,,5
669,3d6.4s.(4D).5p,5P*,2,5.0,7.32812275,2.5e-07,,                                                     ,,5
670,3d6.4s.(4D).5p,5P*,1,3.0,7.3597266,4e-07,,                                                     ,,5
671,3d6.4s.(4D).4d,3D,3,7.0,7.2756807,4e-07,,                                                     ,,4
672,3d6.4s.(4D).4d,3D,1,3.0,7.3108215,5e-07,,                                                     ,,4
673,3d6.4s.(4D).4d,3D,2,5.0,7.31256608,2.5e-07,,                                                     ,,4
674,3d7.(4F<9/2>).4f,2[11/2]*,6,13.0,7.2779394,2.5e-07,,                                                     ,,4
675,3d7.(4F<9/2>).4f,2[11/2]*,5,11.0,7.27797585,2.5e-07,,                                                     ,,4
676,3d7.(4F<9/2>).4f,2[13/2]*,6,13.0,7.27820485,2.5e-07,,                                                     ,,4
677,3d7.(4F<9/2>).4f,2[13/2]*,7,15.0,7.27862478,2.5e-07,,                                                     ,,4
678,3d7.(4F<9/2>).4f,2[9/2]*,4,9.0,7.27848158,2.5e-07,,                                                     ,,4
679,3d7.(4F<9/2>).4f,2[9/2]*,5,11.0,7.2787878,4e-07,,                                                     ,,4
680,3d7.(4F).5d,5H,7,15.0,7.279213,6e-06,,                                                     ,,5
681,3d7.(4F<9/2>).4f,2[7/2]*,4,9.0,7.2792669,4e-07,,                                                     ,,4
682,3d7.(4F<9/2>).4f,2[7/2]*,3,7.0,7.27968857,2.5e-07,,                                                     ,,4
683,3d7.(4F<9/2>).4f,2[15/2]*,8,17.0,7.2801659,4e-07,,                                                     ,,4
684,3d7.(4F<9/2>).4f,2[15/2]*,7,15.0,7.28067,4e-07,,                                                     ,,4
685,3d7.(4F<9/2>).4f,2[5/2]*,3,7.0,7.28023311,2.5e-07,,                                                     ,,4
686,3d7.(4F<9/2>).4f,2[5/2]*,2,5.0,7.28075992,2.5e-07,,                                                     ,,4
687,3d6.(3H).4s.4p.(1P*),3I*,7,15.0,7.28931061,2.5e-07,,                                                     ,,4
688,3d6.(3H).4s.4p.(1P*),3I*,6,13.0,7.3084633,4e-07,,                                                     ,,4
689,3d6.(3H).4s.4p.(1P*),3I*,5,11.0,7.3257089,4e-07,,                                                     ,,4
690,3d7.(4F).5d,3G,5,11.0,7.291761,6e-06,,                                                     ,,5
