,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Leading percentages,Reference,nQua
28,6d,2D,3/2,4.0,119.0530999705,2.5e-09, 100                    ,L3620c107,6
29,6d,2D,5/2,6.0,119.0531453587,2.5e-09, 100                    ,L3620c107,6
30,6f,2F*,5/2,6.0,119.0531452756,1.2e-09, 100                    ,L3620c107,6
31,6f,2F*,7/2,8.0,119.0531679697,1.2e-09, 100                    ,L3620c107,6
32,6g,2G,7/2,8.0,119.0531679258,5e-10, 100                    ,L3620c107,6
33,6g,2G,9/2,10.0,119.0531815412,5e-10, 100                    ,L3620c107,6
34,6h,2H*,9/2,10.0,119.05318151457,1.2e-10, 100                    ,L3620c107,6
35,6h,2H*,11/2,12.0,119.05319059158,1.2e-10, 100                    ,L3620c107,6
36,7p,2P*,1/2,2.0,119.9553968921,1.1e-09, 100                    ,L3620c107,7
37,7p,2P*,3/2,4.0,119.9554826545,1.1e-09, 100                    ,L3620c107,7
38,7s,2S,1/2,2.0,119.9554030082,1e-09, 100                    ,L3620c107,7
39,7d,2D,3/2,4.0,119.9554825075,1.2e-09, 100                    ,L3620c107,7
40,7d,2D,5/2,6.0,119.9555110896,1.2e-09, 100                    ,L3620c107,7
41,7f,2F*,5/2,6.0,119.9555110375,1.2e-09, 100                    ,L3620c107,7
42,7f,2F*,7/2,8.0,119.9555253279,1.2e-09, 100                    ,L3620c107,7
43,7g,2G,7/2,8.0,119.9555253017,5e-10, 100                    ,L3620c107,7
44,7g,2G,9/2,10.0,119.9555338760,5e-10, 100                    ,L3620c107,7
45,7h,2H*,9/2,10.0,119.95553385913,1.2e-10, 100                    ,L3620c107,7
46,7h,2H*,11/2,12.0,119.95553957517,1.2e-10, 100                    ,L3620c107,7
47,7i,2I,11/2,12.0,119.95553956369,5e-11, 100                    ,L3620c107,7
48,7i,2I,13/2,14.0,119.95554364660,5e-11, 100                    ,L3620c107,7
49,8p,2P*,1/2,2.0,120.5411042747,9e-10, 100                    ,L3620c107,8
50,8p,2P*,3/2,4.0,120.5411617285,9e-10, 100                    ,L3620c107,8
51,8s,2S,1/2,2.0,120.5411083732,7e-10, 100                    ,L3620c107,8
52,8d,2D,3/2,4.0,120.5411616299,1.1e-09, 100                    ,L3620c107,8
53,8d,2D,5/2,6.0,120.5411807780,1.1e-09, 100                    ,L3620c107,8
54,8f,2F*,5/2,6.0,120.5411807429,1e-09, 100                    ,L3620c107,8
55,8f,2F*,7/2,8.0,120.5411903165,1e-09, 100                    ,L3620c107,8
56,8g,2G,7/2,8.0,120.5411902983,4e-10, 100                    ,L3620c107,8
57,8g,2G,9/2,10.0,120.5411960423,4e-10, 100                    ,L3620c107,8
58,8h,2H*,9/2,10.0,120.54119603104,1.2e-10, 100                    ,L3620c107,8
59,8h,2H*,11/2,12.0,120.54119986029,1.2e-10, 100                    ,L3620c107,8
60,8i,2I,11/2,12.0,120.54119985264,6e-11, 100                    ,L3620c107,8
61,8i,2I,13/2,14.0,120.54120258789,6e-11, 100                    ,L3620c107,8
62,8k,2K*,13/2,14.0,120.541202582293,2.5e-11, 100                    ,L3620c107,8
63,8k,2K*,15/2,16.0,120.541204633711,2.5e-11, 100                    ,L3620c107,8
64,9p,2P*,1/2,2.0,120.9426598886,7e-10, 100                    ,L3620c107,9
65,9p,2P*,3/2,4.0,120.9427002400,7e-10, 100                    ,L3620c107,9
66,9s,2S,1/2,2.0,120.9426627677,5e-10, 100                    ,L3620c107,9
67,9d,2D,3/2,4.0,120.9427001705,9e-10, 100                    ,L3620c107,9
68,9d,2D,5/2,6.0,120.9427136188,9e-10, 100                    ,L3620c107,9
69,9f,2F*,5/2,6.0,120.9427135942,7e-10, 100                    ,L3620c107,9
70,9f,2F*,7/2,8.0,120.9427203180,7e-10, 100                    ,L3620c107,9
71,9g,2G,7/2,8.0,120.9427203052,4e-10, 100                    ,L3620c107,9
72,9g,2G,9/2,10.0,120.9427243394,4e-10, 100                    ,L3620c107,9
73,9h,2H*,9/2,10.0,120.94272433145,1.2e-10, 100                    ,L3620c107,9
74,9h,2H*,11/2,12.0,120.94272702091,1.2e-10, 100                    ,L3620c107,9
75,9i,2I,11/2,12.0,120.94272701546,6e-11, 100                    ,L3620c107,9
76,9i,2I,13/2,14.0,120.94272893651,6e-11, 100                    ,L3620c107,9
77,9k,2K*,13/2,14.0,120.942728932575,2.5e-11, 100                    ,L3620c107,9
78,9k,2K*,15/2,16.0,120.942730373346,2.5e-11, 100                    ,L3620c107,9
79,9l,2L,15/2,16.0,120.942730370367,9e-12, 100                    ,L3620c107,9
80,9l,2L,17/2,18.0,120.942731490965,9e-12, 100                    ,L3620c107,9
81,10p,2P*,1/2,2.0,121.2298882470,6e-10, 100                    ,L3620c107,10
82,10p,2P*,3/2,4.0,121.2299176630,6e-10, 100                    ,L3620c107,10
83,10s,2S,1/2,2.0,121.2298903463,4e-10, 100                    ,L3620c107,10
84,10d,2D,3/2,4.0,121.2299176123,6e-10, 100                    ,L3620c107,10
85,10d,2D,5/2,6.0,121.2299274161,6e-10, 100                    ,L3620c107,10
86,10f,2F*,5/2,6.0,121.2299273980,6e-10, 100                    ,L3620c107,10
87,10f,2F*,7/2,8.0,121.2299322997,6e-10, 100                    ,L3620c107,10
88,10g,2G,7/2,8.0,121.22993229039,2.5e-10, 100                    ,L3620c107,10
89,10g,2G,9/2,10.0,121.22993523129,2.5e-10, 100                    ,L3620c107,10
90,10h,2H*,9/2,10.0,121.22993522547,1.2e-10, 100                    ,L3620c107,10
91,10h,2H*,11/2,12.0,121.22993718615,1.2e-10, 100                    ,L3620c107,10
92,10i,2I,11/2,12.0,121.22993718221,6e-11, 100                    ,L3620c107,10
93,10i,2I,13/2,14.0,121.22993858266,6e-11, 100                    ,L3620c107,10
94,10k,2K*,13/2,14.0,121.229938579785,2.5e-11, 100                    ,L3620c107,10
95,10k,2K*,15/2,16.0,121.229939630117,2.5e-11, 100                    ,L3620c107,10
96,10l,2L,15/2,16.0,121.229939627935,1.2e-11, 100                    ,L3620c107,10
97,10l,2L,17/2,18.0,121.229940444854,1.2e-11, 100                    ,L3620c107,10
98,10m,2M*,17/2,18.0,121.229940443141,4e-12, 100                    ,L3620c107,10
99,10m,2M*,19/2,20.0,121.229941096673,4e-12, 100                    ,L3620c107,10
100,11p,2P*,1/2,2.0,121.4424035126,5e-10, 100                    ,L3620c107,11
101,11p,2P*,3/2,4.0,121.4424256131,5e-10, 100                    ,L3620c107,11
102,11s,2S,1/2,2.0,121.44240508991,2.5e-10, 100                    ,L3620c107,11
103,11d,2D,3/2,4.0,121.4424255749,5e-10, 100                    ,L3620c107,11
104,11d,2D,5/2,6.0,121.4424329407,5e-10, 100                    ,L3620c107,11
105,11f,2F*,5/2,6.0,121.4424329272,5e-10, 100                    ,L3620c107,11
106,11f,2F*,7/2,8.0,121.4424366099,5e-10, 100                    ,L3620c107,11
107,11g,2G,7/2,8.0,121.44243660285,2.5e-10, 100                    ,L3620c107,11
108,11g,2G,9/2,10.0,121.44243881237,2.5e-10, 100                    ,L3620c107,11
109,11h,2H*,9/2,10.0,121.44243880803,1e-10, 100                    ,L3620c107,11
110,11h,2H*,11/2,12.0,121.44244028107,1e-10, 100                    ,L3620c107,11
111,11i,2I,11/2,12.0,121.44244027810,5e-11, 100                    ,L3620c107,11
112,11i,2I,13/2,14.0,121.44244133028,5e-11, 100                    ,L3620c107,11
113,11k,2K*,13/2,14.0,121.442441328119,2.5e-11, 100                    ,L3620c107,11
114,11k,2K*,15/2,16.0,121.442442117242,2.5e-11, 100                    ,L3620c107,11
115,11l,2L,15/2,16.0,121.442442115605,1.2e-11, 100                    ,L3620c107,11
116,11l,2L,17/2,18.0,121.442442729364,1.2e-11, 100                    ,L3620c107,11
117,11m,2M*,17/2,18.0,121.442442728081,6e-12, 100                    ,L3620c107,11
118,11m,2M*,19/2,20.0,121.442443219089,6e-12, 100                    ,L3620c107,11
119,11n,2N,19/2,20.0,121.4424432180514,2.5e-12, 100                    ,L3620c107,11
120,11n,2N,21/2,22.0,121.4424436197850,2.5e-12, 100                    ,L3620c107,11
121,12p,2P*,1/2,2.0,121.6040380071,4e-10, 100                    ,L3620c107,12
122,12s,2S,1/2,2.0,121.60403922210,2.5e-10, 100                    ,L3620c107,12
123,12o,2O*,23/2,24.0,121.6040691569435,1.2e-12, 100                    ,L3620c107,12
124,13p,2P*,1/2,2.0,121.7298271232,4e-10, 100                    ,L3620c107,13
125,13s,2S,1/2,2.0,121.72982807911,1.2e-10, 100                    ,L3620c107,13
126,13q,2Q,25/2,26.0,121.7298517945819,7e-13, 100                    ,L3620c107,13
127,14p,2P*,1/2,2.0,121.82963657439,2.5e-10, 100                    ,L3620c107,14
128,14s,2S,1/2,2.0,121.82963733974,1.2e-10, 100                    ,L3620c107,14
129,14r,2R*,27/2,28.0,121.8296564450419,5e-13, 100                    ,L3620c107,14
130,15p,2P*,1/2,2.0,121.91015749164,2.5e-10, 100                    ,L3620c107,15
131,15s,2S,1/2,2.0,121.91015811384,1.1e-10, 100                    ,L3620c107,15
132,15t,2T,29/2,30.0,121.9101737299217,4e-13, 100                    ,L3620c107,15
133,16p,2P*,1/2,2.0,121.97605777861,1.2e-10, 100                    ,L3620c107,16
134,16s,2S,1/2,2.0,121.97605829131,9e-11, 100                    ,L3620c107,16
135,16u,2U*,31/2,32.0,121.97607121818594,2.5e-13, 100                    ,L3620c107,16
136,17p,2P*,1/2,2.0,122.03067418916,1.2e-10, 100                    ,L3620c107,17
137,17s,2S,1/2,2.0,122.03067461662,7e-11, 100                    ,L3620c107,17
138,17v,2V,33/2,34.0,122.03068543770748,1.2e-13, 100                    ,L3620c107,17
139,18p,2P*,1/2,2.0,122.07644317149,1.2e-10, 100                    ,L3620c107,18
140,18s,2S,1/2,2.0,122.07644353163,6e-11, 100                    ,L3620c107,18
141,18w,2W*,35/2,36.0,122.07645268039977,1.1e-13, 100                    ,L3620c107,18
142,19p,2P*,1/2,2.0,122.11517738274,1.1e-10, 100                    ,L3620c107,19
143,19s,2S,1/2,2.0,122.11517768896,5e-11, 100                    ,L3620c107,19
144,19x,2X,37/2,38.0,122.11518549287783,9e-14, 100                    ,L3620c107,19
145,20p,2P*,1/2,2.0,122.14824796503,1e-10, 100                    ,L3620c107,20
146,20s,2S,1/2,2.0,122.14824822758,5e-11, 100                    ,L3620c107,20
147,20y,2Y*,39/2,40.0,122.14825493774936,7e-14, 100                    ,L3620c107,20
148,Limit,NaN,NaN,NaN,122.45435914,2.5e-07,NaN,NaN,NaN
