,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Lande,Reference,nQua
158,3s2.3p4.(3P).5d,2D,3/2,4.0,25.3445149,2.5e-07,,L15349,5
159,3s2.3p4.(3P).5d,2D,5/2,6.0,25.3653896,1.5e-06,,L15349,5
160,3s2.3p4.(3P).5d,2P,1/2,2.0,25.35663454,2.5e-07,,L15349,5
161,3s2.3p4.(3P).5d,2P,3/2,4.0,25.44422467,2.5e-07,,L15349,5
162,3s2.3p4.(3P).6p,2S*,1/2,2.0,25.40801331,5e-08,,L15349,6
163,3s2.3p4.(3P<2>).5f,2[4]*,9/2,10.0,25.40905473,4e-08,,L15349,5
164,3s2.3p4.(3P<2>).5f,2[4]*,7/2,8.0,25.41070124,4e-08,,L15349,5
165,3s2.3p4.(3P<2>).5f,2[3]*,5/2,6.0,25.41398919,4e-08,,L15349,5
166,3s2.3p4.(3P<2>).5f,2[3]*,7/2,8.0,25.4162863,4e-08,,L15349,5
167,3s2.3p4.(3P<2>).5f,2[2]*,3/2,4.0,25.42374234,6e-08,,L15349,5
168,3s2.3p4.(3P<2>).5f,2[2]*,5/2,6.0,25.42657193,7e-08,,L15349,5
169,3s2.3p4.(3P<2>).5f,2[5]*,11/2,12.0,25.42923159,6e-08,,L15349,5
170,3s2.3p4.(3P<2>).5f,2[5]*,9/2,10.0,25.42970831,4e-08,,L15349,5
171,3s2.3p4.(3P<2>).5f,2[1]*,1/2,2.0,25.43912897,1.2e-07,,L15349,5
172,3s2.3p4.(3P<2>).5f,2[1]*,3/2,4.0,25.44082574,1e-07,,L15349,5
173,3s2.3p4.(3P<2>).5g,2[5],11/2,12.0,25.44304392,6e-08,,L15349,5
174,3s2.3p4.(3P<2>).5g,2[5],9/2,10.0,25.44305904,1e-07,,L15349,5
175,3s2.3p4.(3P<2>).5g,2[4],7/2,8.0,25.44339237,1.1e-07,,L15349,5
176,3s2.3p4.(3P<2>).5g,2[4],9/2,10.0,25.44339266,7e-08,,L15349,5
177,3s2.3p4.(1D).4d,2S,1/2,2.0,25.446895,1.7e-07,2.004,L15349,4
178,3s2.3p4.(3P<2>).5g,2[3],5/2,6.0,25.44775895,9e-08,,L15349,5
179,3s2.3p4.(3P<2>).5g,2[3],7/2,8.0,25.44777276,1.9e-07,,L15349,5
180,3s2.3p4.(3P<2>).5g,2[6],11/2,12.0,25.45069417,5e-08,,L15349,5
