,Configuration,Term,J,g,Level (eV),nQua
74,3p5.4s2.3d,3P*,nan,3.0,24.8087,3.0
75,3p6.4s.54d,3D,nan,5.0,6.108352,54.0
76,3p6.3d.30f,3P*,nan,3.0,7.790437,30.0
77,3p6.4s.36p,3P*,nan,5.0,6.101429,36.0
78,3p5.(2P*<1/2>).4s2.11d,2[3/2]*,nan,3.0,34.5258,11.0
79,3p6.4s.11d,3D,nan,15.0,5.983371333333333,11.0
80,3p6.3d.27f,3P*,nan,3.0,7.786954,27.0
81,3p6.3d.4d,3D,nan,15.0,6.3693756666666665,4.0
82,3p6.4s.7d,3D,nan,15.0,5.740951133333334,7.0
83,3p6.3d.12f,3P*,nan,3.0,7.711683,12.0
84,3p6.3d.8f,3P*,nan,3.0,7.591385,8.0
85,3p6.3d.15f,3P*,nan,3.0,7.745558,15.0
86,3p6.4s.9p,1P*,nan,3.0,5.8501163,9.0
87,3p6.3d.48p,1P*,nan,3.0,7.806754,48.0
88,3p6.3d.23p,1P*,nan,3.0,7.783077,23.0
89,3p6.4s.25d,3D,nan,5.0,6.089886,25.0
90,3p6.4s.53p,3P*,nan,5.0,6.107939,53.0
91,3p6.3d.4d,3P,nan,9.0,6.731335333333334,4.0
92,3p6.4s.22p,3P*,nan,5.0,6.07928,22.0
93,3p6.4p.5d,1P*,nan,3.0,8.2546,5.0
94,3p6.3d.36p,3D*,nan,3.0,7.793969,36.0
95,3p6.4s.61d,1D,nan,5.0,6.109393,61.0
96,3p6.3d.18f,1P*,nan,3.0,7.770277,18.0
97,3p6.3d.28f,3D*,nan,3.0,7.787695,28.0
98,3p6.4p.6d,1P*,nan,3.0,8.6346,6.0
99,3p6.3d.15p,1P*,nan,3.0,7.735623,15.0
100,3p6.4s.32p,3P*,nan,5.0,6.098085,32.0
101,3p6.3d.4p,1D*,nan,5.0,4.443025,4.0
102,3p6.3d.40p,3D*,nan,3.0,7.79628,40.0
103,3p6.4s.53d,1D,nan,5.0,6.108053,53.0
104,3p6.3d.39p,1P*,nan,3.0,7.80332,39.0
105,3p6.3d.61p,1P*,nan,3.0,7.809232,61.0
106,3p6.4s.11f,3F*,nan,21.0,5.9986977,11.0
107,3p6.4s.5p,3P*,nan,9.0,4.532761300000001,5.0
108,3p6.4s.14p,1P*,nan,3.0,6.020809,14.0
109,3p6.4s.17f,1F*,nan,7.0,6.065549,17.0
110,3p6.3d.25p,3P*,nan,3.0,7.787187,25.0
111,3p6.4s.18d,1D,nan,5.0,6.066397,18.0
112,3p6.4p.7d,1P*,nan,3.0,8.8323,7.0
113,3p6.4s.4f,1F*,nan,7.0,5.2499357,4.0
114,3p6.4s.7p,1P*,nan,3.0,5.6320266,7.0
115,3p6.4s.64p,1P*,nan,3.0,6.109638,64.0
116,3p6.4s.19d,3D,nan,15.0,6.0719883333333335,19.0
117,3p6.3d.31p,3P*,nan,3.0,7.796718,31.0
118,3p6.4s.7s,3S,nan,3.0,5.4529201,7.0
119,3p6.3d.9p,1P*,nan,3.0,7.55976,9.0
120,3p6.4s.56p,3P*,nan,5.0,6.108503,56.0
121,3p6.3d.37p,1P*,nan,3.0,7.802178,37.0
122,3p6.4s.5f,1F*,nan,7.0,5.5550969,5.0
123,3p5.4s2.3d,1P*,nan,3.0,31.406,3.0
124,3p6.3d.19p,1P*,nan,3.0,7.767408,19.0
125,3p6.4s.19d,1D,nan,5.0,6.071271,19.0
126,3p6.3d.21p,3P*,nan,3.0,7.775219,21.0
127,3p6.3d.47p,1P*,nan,3.0,7.80647,47.0
128,3p6.4s.57d,1D,nan,5.0,6.108751,57.0
129,3p6.3d.22f,3P*,nan,3.0,7.777428,22.0
130,3p6.3d.46p,1P*,nan,3.0,7.80617,46.0
131,3p6.4s.31d,1D,nan,5.0,6.097835,31.0
132,3p6.3d.16f,3P*,nan,3.0,7.753215,16.0
133,3p6.3d.27p,3P*,nan,3.0,7.790975,27.0
134,3p6.4s.37p,1P*,nan,3.0,6.102133,37.0
135,3p6.4s.52p,1P*,nan,3.0,6.107747,52.0
136,3p6.3d.18p,3P*,nan,3.0,7.759489,18.0
137,3p6.3d.11f,1P*,nan,3.0,7.697549,11.0
138,3p6.4s.51p,3P*,nan,5.0,6.107506,51.0
139,3p6.4s.10h,1H*,nan,11.0,5.977,10.0
140,3p6.3d.19f,1P*,nan,3.0,7.774358,19.0
141,3p6.4s.29s,1S,nan,1.0,6.09402,29.0
142,3p6.4s.36d,1D,nan,5.0,6.101896,36.0
143,3p6.4s.20f,1F*,nan,7.0,6.078813,20.0
144,3p6.4s.6f,1F*,nan,7.0,5.7258877,6.0
145,3p6.4s.29d,1D,nan,5.0,6.095574,29.0
146,3p6.3d.36p,1P*,nan,3.0,7.801535,36.0
147,3p6.4s.49d,1D,nan,5.0,6.107181,49.0
148,3p6.4s.9d,1D,nan,5.0,5.927981,9.0
149,3p6.4s.27p,3P*,nan,5.0,6.09146,27.0
150,3p6.3d.45p,3D*,nan,3.0,7.798305,45.0
151,3p6.3d.27p,1P*,nan,3.0,7.79182,27.0
152,3p6.4s.6p,3P*,nan,9.0,5.271814066666667,6.0
153,3p6.3d.33p,1P*,nan,3.0,7.79922,33.0
154,3p6.4s.30p,3P*,nan,5.0,6.09586,30.0
155,3p6.3d.11f,3D*,nan,3.0,7.688157,11.0
156,3p5.(2P*<3/2>).4s2.11d,2[3/2]*,nan,3.0,34.1857,11.0
157,3p6.3d.43p,3D*,nan,3.0,7.797571,43.0
158,3p6.4s.48d,1D,nan,5.0,6.106921,48.0
159,3p6.4s.7f,3F*,nan,21.0,5.8280373333333335,7.0
160,3p6.4s.25s,1S,nan,1.0,6.086656,25.0
161,3p6.4s.15p,3P*,nan,5.0,6.0331,15.0
162,3p6.4s.33p,1P*,nan,3.0,6.099115,33.0
163,3p6.4s.58d,1D,nan,5.0,6.108923,58.0
164,3p6.3d.7f,3D*,nan,3.0,7.517432,7.0
165,3p5.(2P*<1/2>).4s2.13s,2[1/2]*,nan,3.0,34.5338,13.0
166,3p5.(2P*<1/2>).4s2.12s,2[1/2]*,nan,3.0,34.5051,12.0
167,3p6.4s.12s,3S,nan,3.0,5.964138,12.0
168,3p6.4s.47p,3P*,nan,5.0,6.106454,47.0
169,3p6.3d.26f,3D*,nan,3.0,7.784978,26.0
170,3p6.4s.19f,1F*,nan,7.0,6.075088,19.0
171,3p6.4s.27f,1F*,nan,7.0,6.094355,27.0
172,3p6.3d.13f,1P*,nan,3.0,7.729977,13.0
173,3p6.3d.31p,1P*,nan,3.0,7.797242,31.0
174,3p6.4s.46d,3D,nan,5.0,6.106482,46.0
175,3p6.4s.57p,1P*,nan,3.0,6.108687,57.0
176,3p5.(2P*<1/2>).4s2.15d,2[3/2]*,nan,3.0,34.5895,15.0
177,3p6.4s.43p,1P*,nan,3.0,6.105117,43.0
178,3p6.4s.10d,1D,nan,5.0,5.961583,10.0
179,3p6.3d.34p,1P*,nan,3.0,7.800033,34.0
180,3p6.4s.15d,3D,nan,15.0,6.045609666666667,15.0
181,3p6.4s.55d,3D,nan,5.0,6.108524,55.0
182,3p6.4s.24p,1P*,nan,3.0,6.085361,24.0
183,3p6.4s.21d,1D,nan,5.0,6.079013,21.0
184,3p6.3d.16p,3P*,nan,3.0,7.742025,16.0
185,3p6.3d.58p,3D*,nan,3.0,7.801263,58.0
186,3p6.4s.6s,3S,nan,3.0,5.0181663,6.0
187,3p6.4s.39d,3D,nan,5.0,6.103809,39.0
188,3p5.(2P*<3/2>).4s2.12d,2[3/2]*,nan,3.0,34.207,12.0
189,3p6.4s.45p,3P*,nan,5.0,6.105818,45.0
190,3p6.4s.7d,1D,nan,5.0,5.728086,7.0
191,3p6.4s.14p,3P*,nan,8.0,6.019235,14.0
192,3p6.3d.5p,1P*,nan,3.0,6.58,5.0
193,3p6.4s.60d,3D,nan,5.0,6.109262,60.0
194,3p6.4s.23d,1D,nan,5.0,6.084832,23.0
195,3p6.4s.11p,1P*,nan,3.0,5.95093,11.0
196,3p6.4s.4f,3F*,nan,21.0,5.228487966666666,4.0
197,3p6.4s.29d,3D,nan,5.0,6.095999,29.0
198,3p6.4s.4p,1P*,nan,3.0,2.932512,4.0
199,3p6.4p2,1D,nan,5.0,5.0486176,4.0
200,3p6.4s.45d,1D,nan,5.0,6.106038,45.0
201,3p6.4s.44d,1D,nan,5.0,6.105701,44.0
202,3p6.4s.54p,3P*,nan,5.0,6.108136,54.0
203,3p6.3d.5f,3D*,nan,3.0,7.244559,5.0
204,3p6.4p.14s,3P*,nan,3.0,9.128,14.0
205,3p6.3d.13p,3P*,nan,3.0,7.699057,13.0
206,3p6.4p.13s,1P*,nan,3.0,9.1368,13.0
207,3p6.3d.14f,3D*,nan,3.0,7.73355,14.0
208,3p6.4s.50d,1D,nan,5.0,6.107422,50.0
209,3p6.4s.27d,1D,nan,5.0,6.092786,27.0
210,3p6.4s.38p,1P*,nan,3.0,6.102734,38.0
211,3p6.4s.60d,1D,nan,5.0,6.109233,60.0
212,3p6.3d.23f,3P*,nan,3.0,7.779826,23.0
213,3p6.4p.4d,3D*?,nan,3.0,7.75558,4.0
214,3p5.(2P*<3/2>).4s2.13d,2[3/2]*,nan,3.0,34.2244,13.0
215,3p6.3d.9p,3P*,nan,3.0,7.546829,9.0
216,3p6.4s.56d,3D,nan,5.0,6.108703,56.0
217,3p6.4s.15f,1F*,nan,7.0,6.051928,15.0
218,3p6.3d.12f,1P*,nan,3.0,7.716091,12.0
219,3p6.4s.9f,1F*,nan,7.0,5.9419361,9.0
220,3p6.4s.10s,1S,nan,1.0,5.8814968,10.0
221,3p6.4s.73p,1P*,nan,3.0,6.110474,73.0
222,3p6.4s.20p,1P*,nan,3.0,6.071745,20.0
223,3p6.3d.21f,1P*,nan,3.0,7.781603,21.0
224,3p6.4s.49p,1P*,nan,3.0,6.107035,49.0
225,3p6.3d.4p,1F*,nan,7.0,5.0260582,4.0
226,3p6.4s.31d,3D,nan,5.0,6.098193,31.0
227,3p6.3d.4d,3S,nan,3.0,6.39408,4.0
228,3p6.4p.16s,3P*,nan,3.0,9.1565,16.0
229,3p6.3d.19p,3D*,nan,3.0,7.759902,19.0
230,3p6.4s.25d,1D,nan,5.0,6.089287,25.0
231,3p6.4s.56d,1D,nan,5.0,6.108618,56.0
232,3p6.3d.11p,1P*,nan,3.0,7.65568,11.0
233,3p6.4p.12s,1P*,nan,3.0,9.1059,12.0
234,3p6.4s.20d,1D,nan,5.0,6.075432,20.0
235,3p6.4s.58p,3P*,nan,5.0,6.108827,58.0
236,3p6.3d.57p,1P*,nan,3.0,7.808653,57.0
237,3p6.3d.35p,1P*,nan,3.0,7.800817,35.0
238,3p6.4s.59d,1D,nan,5.0,6.109085,59.0
239,3p6.3d.37f,1P*,nan,3.0,7.803055,37.0
240,3p6.3d.22f,3D*,nan,3.0,7.77634,22.0
241,3p6.4s.74p,1P*,nan,3.0,6.110546,74.0
242,3p6.4s.35s,3S,nan,3.0,6.100329,35.0
243,3p6.4s.5d,1D,nan,5.0,5.3212844,5.0
244,3p6.3d.17p,1P*,nan,3.0,7.754983,17.0
245,3p5.4s2.4d,1P*,nan,3.0,33.555,4.0
246,3p6.3d.15p,3P*,nan,3.0,7.730654,15.0
247,3p6.4s.6s,1S,nan,1.0,5.044971,6.0
248,3p5.(2P*<1/2>).4s2.17d,2[3/2]*,nan,3.0,34.6061,17.0
249,3p6.3d.23p,3D*,nan,3.0,7.775451,23.0
250,3p6.3d.5f,1P*,nan,3.0,7.253806,5.0
251,3p6.3d.13f,3P*,nan,3.0,7.725781,13.0
252,3p6.3d.22p,3D*,nan,3.0,7.772183,22.0
253,3p6.4s.23f,1F*,nan,7.0,6.08722,23.0
254,3p6.4s.24p,3P*,nan,5.0,6.085149,24.0
255,3p6.3d.18p,3D*,nan,3.0,7.753896,18.0
256,3p6.3d.16p,3D*,nan,3.0,7.738656,16.0
257,3p6.4s.7s,1S,nan,1.0,5.4895911,7.0
258,3p6.4s.43d,1D,nan,5.0,6.105345,43.0
259,3p6.3d.6f,1P*,nan,3.0,7.42399,6.0
260,3p6.4p.9d,1P*,nan,3.0,9.0349,9.0
261,Limit,nan,nan,0.0,6.11315547,nan
262,3p6.4s.31s,3S,nan,3.0,6.096479,31.0
263,3p6.3d.17p,3D*,nan,3.0,7.747332,17.0
264,3p6.4s.27s,1S,nan,1.0,6.090778,27.0
265,3p6.4s.57d,3D,nan,5.0,6.108856,57.0
266,3p6.4s.79p,1P*,nan,3.0,6.11088,79.0
267,3p6.3d.7f,1P*,nan,3.0,7.527024,7.0
268,3p6.4s.22s,3S,nan,3.0,6.077598,22.0
269,3p6.4s.16p,1P*,nan,3.0,6.045029,16.0
270,3p6.4s.62p,1P*,nan,3.0,6.109398,62.0
271,3p6.3d.15f,3D*,nan,3.0,7.743291,15.0
272,3p6.4s.13s,3S,nan,3.0,5.991058,13.0
273,3p6.4s.66p,1P*,nan,3.0,6.109855,66.0
274,3p6.4s.25s,3S,nan,3.0,6.086434,25.0
275,3p6.4p.10s,3P*,nan,3.0,8.9778,10.0
276,3p6.3d.26f,3P*,nan,3.0,7.785487,26.0
277,3p6.4s.57p,3P*,nan,5.0,6.108673,57.0
278,3p5.(2P*<3/2>).4s2.8d,2[3/2]*,nan,3.0,34.0525,8.0
279,3p6.4s.14d,3D,nan,15.0,6.03502,14.0
280,3p5.(2P*<3/2>).4s2.5s,2[3/2]*,nan,3.0,31.9553,5.0
281,3p6.3d.23p,3P*,nan,3.0,7.781603,23.0
282,3p6.3d.6f,3D*,nan,3.0,7.414529,6.0
283,3p6.4s.25p,1P*,nan,3.0,6.087713,25.0
284,3p6.3d.37p,3D*,nan,3.0,7.794622,37.0
285,3p6.4s.46d,1D,nan,5.0,6.106352,46.0
286,3p6.4s.11s,3S,nan,3.0,5.927213,11.0
287,3p6.4s.15s,1S,nan,1.0,6.028301,15.0
288,3p6.3d.10p,3D*,nan,3.0,7.601056,10.0
289,3p6.4p.14s,1P*,nan,3.0,9.1565,14.0
290,3p6.4s.18p,3P*,nan,5.0,6.060262,18.0
291,3p6.4s.8s,1S,nan,1.0,5.6892877,8.0
292,3p6.3d.18f,3P*,nan,3.0,7.763521,18.0
293,3p6.4s.37p,3P*,nan,5.0,6.102082,37.0
294,3p6.4s.12p,3P*,nan,8.0,5.978033,12.0
295,3p6.4s.17d,1D,nan,5.0,6.060641,17.0
296,3p6.4s.12d,1D,nan,5.0,6.007249,12.0
297,3p6.4s.39p,3P*,nan,5.0,6.103249,39.0
298,3p6.3d.26p,1P*,nan,3.0,7.79001,26.0
299,3p6.4s.76p,1P*,nan,3.0,6.110685,76.0
300,3p6.3d.23f,3D*,nan,3.0,7.779154,23.0
301,3p6.4s.23s,1S,nan,1.0,6.081282,23.0
302,3p6.4s.49d,3D,nan,5.0,6.107294,49.0
303,3p6.3d.42p,1P*,nan,3.0,7.804723,42.0
304,3p6.4s.8d,1D,nan,5.0,5.820932,8.0
305,3p6.4s.47p,1P*,nan,3.0,6.10648,47.0
306,3p6.4s.18p,1P*,nan,3.0,6.060851,18.0
307,3p6.4s.60p,3P*,nan,5.0,6.109119,60.0
308,3p6.4s.32d,3D,nan,5.0,6.099162,32.0
309,3p6.3d.21p,1P*,nan,3.0,7.776512,21.0
310,3p6.4s.34d,3D,nan,5.0,6.100788,34.0
311,3p6.3d.42p,3D*,nan,3.0,7.797242,42.0
312,3p5.(2P*<3/2>).4s2.5d,2[3/2]*,nan,3.0,33.586,5.0
313,3p6.4s.68p,1P*,nan,3.0,6.11005,68.0
314,3p6.4s.13g,1G,nan,9.0,6.03229,13.0
315,3p6.4s.10p,3P*,nan,8.0,5.9023,10.0
316,3p6.3d.41p,1P*,nan,3.0,7.804294,41.0
317,3p6.3d.20p,3D*,nan,3.0,7.764638,20.0
318,3p6.3d.5s,1D,nan,5.0,5.8829365,5.0
319,3p6.3d.55p,3D*,nan,3.0,7.800817,55.0
320,3p6.4s.13p,3P*,nan,8.0,6.0014255,13.0
321,3p6.3d.7p,3P*,nan,3.0,7.316415,7.0
322,3p6.4s.42d,1D,nan,5.0,6.104957,42.0
323,3p6.4s.55p,3P*,nan,5.0,6.108328,55.0
324,3p6.4s.21d,3D,nan,5.0,6.079739,21.0
325,3p6.4s.41p,3P*,nan,5.0,6.104238,41.0
326,3p5.(2P*<1/2>).4s2.16d,2[3/2]*,nan,3.0,34.598,16.0
327,3p6.3d.38f,1P*,nan,3.0,7.803539,38.0
328,3p6.4s.5d,3D,nan,15.0,5.2997089,5.0
329,3p5.(2P*<3/2>).4s2.6d,2[3/2]*,nan,3.0,33.8643,6.0
330,3p6.4p.4d,1P*?,nan,3.0,7.756665,4.0
331,3p6.3d.13f,3D*,nan,3.0,7.721653,13.0
332,3p6.3d.20p,3P*,nan,3.0,7.770277,20.0
333,3p6.4s.14g,1G,nan,9.0,6.04341,14.0
334,3p6.4s.9d,3D,nan,15.0,5.921305066666666,9.0
335,3p6.4s.35p,1P*,nan,3.0,6.10076,35.0
336,3p6.3d.45p,1P*,nan,3.0,7.805844,45.0
337,3p6.4s.21p,3P*,nan,5.0,6.075624,21.0
338,3p6.4s.10s,3S,nan,3.0,5.8746252,10.0
339,3p6.3d.8f,1P*,nan,3.0,7.594204,8.0
340,3p6.4s.20s,3S,nan,3.0,6.069012,20.0
341,3p6.4s.34s,3S,nan,3.0,6.099482,34.0
342,3p6.4s.28p,3P*,nan,5.0,6.093103,28.0
343,3p6.4s.13d,1D,nan,5.0,6.022944,13.0
344,3p6.4s.36d,3D,nan,5.0,6.102153,36.0
345,3p6.4p.9s,3P*,nan,3.0,8.9105,9.0
346,3p6.3d.16p,1P*,nan,3.0,7.746317,16.0
347,3p6.4s.26s,3S,nan,3.0,6.088635,26.0
348,3p5.(2P*<1/2>).4s2.8d,2[3/2]*,nan,3.0,34.397,8.0
349,3p6.4s.22f,1F*,nan,7.0,6.084797,22.0
350,3p5.4s2.4d,3P*,nan,3.0,31.6187,4.0
351,3p6.4s.23d,3D,nan,5.0,6.085495,23.0
352,3p6.4s.13d,3D,nan,15.0,6.021793333333334,13.0
353,3p5.(2P*<1/2>).4s2.11s,2[1/2]*,nan,3.0,34.4665,11.0
354,3p6.4p.8s,1P*,nan,3.0,8.803,8.0
355,3p6.4p.5s,1P*,nan,3.0,7.186,5.0
356,3p6.4s.77p,1P*,nan,3.0,6.110752,77.0
357,3p6.4s.15p,1P*,nan,3.0,6.03429,15.0
358,3p6.3d.28p,3D*,nan,3.0,7.785893,28.0
359,3p6.3d.50p,3D*,nan,3.0,7.799707,50.0
360,3p6.4s.16s,3S,nan,3.0,6.039124,16.0
361,3p6.4s.62d,1D,nan,5.0,6.109429,62.0
362,3p5.4s2.3d,3D*,nan,3.0,27.1514,3.0
363,3p6.3d.20f,3D*,nan,3.0,7.770779,20.0
364,3p6.3d.24f,3P*,nan,3.0,7.781757,24.0
365,3p6.3d.37f,3P*,nan,3.0,7.795556,37.0
366,3p6.4p.9s,1P*,nan,3.0,8.9277,9.0
367,3p6.4s.33d,3D,nan,5.0,6.100014,33.0
368,3p6.4s.4p,3P*,nan,9.0,1.8880275333333334,4.0
369,3p6.4s.67p,1P*,nan,3.0,6.109954,67.0
370,3p6.4s.4d,1D,nan,5.0,4.6243982,4.0
371,3p6.4s.22d,1D,nan,5.0,6.082122,22.0
372,3p6.3d.28p,1P*,nan,3.0,7.793412,28.0
373,3p5.(2P*<3/2>).4s2.7d,2[3/2]*,nan,3.0,33.9666,7.0
374,3p6.4p.8s,3P*,nan,3.0,8.7765,8.0
375,3p6.4s.25p,3P*,nan,5.0,6.087531,25.0
376,3p6.4s.14s,1S,nan,1.0,6.013127,14.0
377,3p6.4s.21p,1P*,nan,3.0,6.07596,21.0
378,3p6.4s.21s,1S,nan,1.0,6.074089,21.0
379,3p5.(2P*<1/2>).4s2.10d,2[3/2]*,nan,3.0,34.4959,10.0
380,3p6.4p2,1S,nan,1.0,5.1808379,4.0
381,3p6.3d.30p,1P*,nan,3.0,7.796062,30.0
382,3p6.4s.29s,3S,nan,3.0,6.093861,29.0
383,3p6.3d.27p,3D*,nan,3.0,7.784207,27.0
384,3p6.4s.9s,3S,nan,3.0,5.7960484,9.0
385,3p6.4s.34p,3P*,nan,5.0,6.09991,34.0
386,3p6.4s.30s,1S,nan,1.0,6.095369,30.0
387,3p6.3d2,3F,nan,21.0,5.392156866666667,3.0
388,3p6.4s.26s,1S,nan,1.0,6.088845,26.0
389,3p6.4s.75p,1P*,nan,3.0,6.110618,75.0
390,3p6.3d.13p,3D*,nan,3.0,7.697549,13.0
391,3p6.3d.25p,3D*,nan,3.0,7.780455,25.0
392,3p6.3d.9f,3P*,nan,3.0,7.637016,9.0
393,3p6.3d.55p,1P*,nan,3.0,7.808309,55.0
394,3p6.4s.11s,1S,nan,1.0,5.93187,11.0
395,3p6.4s.8f,3F*,nan,21.0,5.895484,8.0
396,3p5.(2P*<1/2>).4s2.7s,2[1/2]*,nan,3.0,33.9218,7.0
397,3p6.3d.24f,3D*,nan,3.0,7.782253,24.0
398,3p6.3d.38f,3P*,nan,3.0,7.796131,38.0
399,3p6.3d.4d,3G,nan,27.0,6.39527,4.0
400,3p5.(2P*<3/2>).4s2.15d,2[3/2]*,nan,3.0,34.2462,15.0
401,3p6.4s.33p,3P*,nan,5.0,6.099041,33.0
402,3p6.4s.59p,1P*,nan,3.0,6.108993,59.0
403,3p6.3d.6p,1P*,nan,3.0,7.0238,6.0
404,3p6.3d.33p,3P*,nan,3.0,7.798835,33.0
405,3p6.3d.51p,1P*,nan,3.0,7.807506,51.0
406,3p6.3d.6f,3P*,nan,3.0,7.421974,6.0
407,3p6.4s.14s,3S,nan,3.0,6.011287,14.0
408,3p6.4s.36s,3S,nan,3.0,6.10108,36.0
409,3p6.4s.12h,1H*,nan,11.0,6.01871,12.0
410,3p6.4s.16p,3P*,nan,5.0,6.044111,16.0
411,3p6.4s.30s,3S,nan,3.0,6.095254,30.0
412,3p6.4s.54p,1P*,nan,3.0,6.108155,54.0
413,3p6.3d.19f,3P*,nan,3.0,7.768105,19.0
414,3p6.4s.37d,1D,nan,5.0,6.102515,37.0
415,3p6.3d.26p,3D*,nan,3.0,7.782422,26.0
416,3p6.4s.11p,3P*,nan,8.0,5.9464310000000005,11.0
417,3p6.4s.52d,1D,nan,5.0,6.107872,52.0
418,3p6.3d.8p,3D*,nan,3.0,7.444771,8.0
419,3p6.4s.23p,3P*,nan,5.0,6.082419,23.0
420,3p6.3d.15p,3D*,nan,3.0,7.728064,15.0
421,3p6.3d.22p,1P*,nan,3.0,7.78008,22.0
422,3p6.4s.8p,3P*,nan,9.0,5.738690666666666,8.0
423,3p6.4s.38d,1D,nan,5.0,6.103085,38.0
424,3p6.3d.17f,3D*,nan,3.0,7.757156,17.0
